,PROVINCIA,COMUNE,CODICE PUNTO,DATA,Qr[m s.l.m.],DESCRIZIONE,MISURA SOGGIACENZA [m],PIEZOMETRIA [m s.l.m.],1Q_SOGG,3Q_SOGG,1Q_PIEZO,3Q_PIEZO,IQR_PIEZO,INF,SUP,OUTLIERS,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Etichette di riga,1Q_SOGG.1,3Q_SOGG.1,1Q_PIEZO.1,3Q_PIEZO.1,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
66,PV,CASSOLNOVO,PO0180350U0002,2019-02-28,117.58,soggiacenza statica,8.2,109.38,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PV,CASSOLNOVO,PO0180350U0002,2019-05-16,117.58,soggiacenza statica,6.9,110.68,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PV,CASSOLNOVO,PO0180350U0002,2019-08-23,117.58,soggiacenza statica,4.0,113.58,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PV,CASSOLNOVO,PO0180350U0002,2019-10-24,117.58,soggiacenza statica,6.0,111.58,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PV,CASSOLNOVO,PO0180350U0002,2019-11-30,117.58,soggiacenza statica,6.95,110.63,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PV,CASSOLNOVO,PO0180350U0002,2020-10-14,117.58,soggiacenza statica,6.03,111.55,5.5,7.25,110.33,112.08,1.75,107.705,114.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PV,CASTELLO D'AGOGNA,PO018039NR0001,2018-11-26,108.154,soggiacenza statica,2.33,105.824,1.99,2.57,105.584,106.164,0.5799999999999983,104.714,107.03399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PV,CASTELLO D'AGOGNA,PO018039NR0001,2019-01-22,108.154,soggiacenza statica,2.86,105.294,1.99,2.57,105.584,106.164,0.5799999999999983,104.714,107.03399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PV,CASTELLO D'AGOGNA,PO018039NR0001,2019-02-19,108.154,soggiacenza statica,3.07,105.084,1.99,2.57,105.584,106.164,0.5799999999999983,104.714,107.03399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PV,CASTELLO D'AGOGNA,PO018039NR0001,2019-03-21,108.154,soggiacenza statica,3.34,104.814,1.99,2.57,105.584,106.164,0.5799999999999983,104.714,107.03399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PV,CASTELLO D'AGOGNA,PO018039NR0001,2019-05-30,108.154,soggiacenza statica,2.85,105.304,1.99,2.57,105.584,106.164,0.5799999999999983,104.714,107.03399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
